,Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
912743,878195,99 Cent Etc LLC  ,Convenience Store,3012,NE 127th St, ,Seattle,WA,98125,4415,KING,47.72114,-122.296,02/02/2009,12/02/2010
912744,878195,99 Cent Etc LLC  ,Convenience Store,3012,NE 127th St, ,Seattle,WA,98125,4415,KING,47.72114,-122.296,08/04/2011,07/09/2019
912745,863048,99 Cent Plus  ,Convenience Store,1102,23rd Ave, ,Seattle,WA,98122,4822,KING,47.61164,-122.3027,09/22/2008,07/06/2014
912746,857286,99 Cent Plus Smoke Mart  ,Convenience Store,10325,Aurora Ave N, ,Seattle,WA,98133,9227,KING,47.70407,-122.3447,07/17/2008,06/25/2010
912747,673928,99 CENT STORE  ,Convenience Store,4341,University Way NE, ,Seattle,WA,98105,5808,KING,0.0,0.0,09/26/1991,12/09/1992
912748,903555,99 Cent Store +  ,Convenience Store,10406,Greenwood Ave N, ,Seattle,WA,98133,9146,KING,47.70441,-122.3554,08/04/2009,10/31/2011
912749,763576,99 CENTS PLUS  ,Convenience Store,2200,S Jackson St, ,Seattle,WA,98144,2339,KING,47.59931,-122.3031,11/17/2005,10/02/2006
912750,802266,99 CENTS PLUS  ,Convenience Store,2200,S Jackson St, ,Seattle,WA,98144,2339,KING,47.59931,-122.3031,11/14/2006,12/03/2007
912752,495813,A & M GROCERY  ,Convenience Store,14038,Aurora Ave N, ,Seattle,WA,98133,6915,KING,0.0,0.0,04/14/1998,04/22/1999
912753,589713,A & M GROCERY  ,Convenience Store,14038,Aurora Ave N, ,Seattle,WA,98133,6915,KING,0.0,0.0,05/13/1999,05/13/2002
912754,631622,A & M INTERNATIONAL GROCERY  ,Convenience Store,14038,Aurora Ave N, ,Seattle,WA,98133,6915,KING,0.0,0.0,07/17/1997,03/15/1998
912756,602659,A JHANG MARKET  ,Convenience Store,2237,2nd Ave, ,Seattle,WA,98121,2016,KING,47.61351,-122.3449,12/30/2003,07/28/2009
912757,602659,A JHANG MARKET  ,Convenience Store,2237,2nd Ave, ,Seattle,WA,98121,2016,KING,47.61351,-122.3449,11/13/2009,12/29/2013
912758,1114861,A Piece Of Cake  ,Combination Grocery/Other,514,S King St, ,Seattle,WA,98104,2834,KING,47.59844,-122.3274,12/19/2013,11/23/2018
912759,886233,A&G DOLLAR STORE  ,Small Grocery Store,5603,Rainier Ave S, ,Seattle,WA,98118,2442,KING,47.55189,-122.2782,04/02/2009,04/18/2010
912765,1230854,"A1 Market, Inc  ",Convenience Store,14401,Greenwood Ave N, ,Seattle,WA,98133,6814,KING,47.73344,-122.3556,03/28/2016,11/22/2019
912766,1026851,A1 Mart  ,Convenience Store,10406,Greenwood Ave N, ,Seattle,WA,98133,9146,KING,47.70441,-122.3554,11/16/2011, 
912770,1205119,Abadir Market  ,Convenience Store,3931,Martin Luther King Jr Way S, ,Seattle,WA,98108,1545,KING,47.56822,-122.297,08/03/2015,09/26/2016
912771,1047834,Abarrotes El Oaxaqueno 1,Convenience Store,4515,15th Ave S,,Seattle,WA,98108,1819,KING,47.56304,-122.3139,10/15/2012,06/22/2018
912772,1047834,Abarrotes El Oaxaqueno 1,Convenience Store,4515,15th Ave S,,Seattle,WA,98108,1819,KING,47.56304,-122.3139,08/18/2021, 
912773,975330,Abarrotes Michoacan  ,Small Grocery Store,12012,Des Moines Memorial Dr, ,Seattle,WA,98168,2228,KING,47.4957,-122.3104,01/07/2011,09/21/2011
912774,978031,Abarrotes Quinleo  ,Small Grocery Store,17730,Ambaum Blvd S,Ste B,Seattle,WA,98148,1785,KING,47.44475,-122.3293,04/14/2011,05/18/2016
912775,1421119,Abarrotes Ramirez  ,Convenience Store,3218,Rainier Ave S,,Seattle,WA,98144,6032,KING,47.5745,-122.2946,10/02/2020, 
912779,1410637,ABC Herb & Grocery 02,Small Grocery Store,610,S Weller St,,Seattle,WA,98104,2925,KING,47.59766,-122.3258,08/25/2020, 
912780,746967,ABC SUPERMARKET  ,Supermarket,2500,Beacon Ave S, ,Seattle,WA,98144,5126,KING,47.58063,-122.3134,05/05/2005,11/19/2013
912782,718970,Abdul Gafoor Halal Meat and Deli  ,Meat/Poultry Specialty,6053,Martin Luther King Jr Way S, ,Seattle,WA,98118,3141,KING,47.54759,-122.2865,10/05/1995,04/17/2019
912783,840233,Abyssinia Food Mart & Deli  ,Convenience Store,2200,S Jackson St, ,Seattle,WA,98144,2339,KING,47.59931,-122.3031,03/24/2008,08/02/2009
912784,440680,ABYSSINIA GROCERY  ,Convenience Store,1123,M L King Jr Way, ,Seattle,WA,98122,5051,KING,0.0,0.0,07/19/1995,11/29/1998
912785,308892,ABYSSINIA MARKET  ,Convenience Store,2225,4th Ave,Ste C,Seattle,WA,98121,2034,KING,47.61525,-122.3438,10/29/2002,04/23/2017
912786,1281294,Abyssinia Market  ,Convenience Store,2225,4th Ave,Ste C,Seattle,WA,98121,2034,KING,47.61517,-122.3437,05/09/2017, 
912787,1330056,"Addis Market, LLC  ",Medium Grocery Store,13500,Aurora Ave N, ,Seattle,WA,98133,7523,KING,47.72702,-122.345,08/27/2018, 
912788,1031306,Admiral Chevron  ,Combination Grocery/Other,2347,California Ave SW, ,Seattle,WA,98116,2402,KING,47.58141,-122.3866,02/22/2012,05/05/2015
912790,962396,Affordable Kosher Llc 1,Medium Grocery Store,1001,S Myrtle St, ,Seattle,WA,98108,3527,KING,47.53939,-122.3198,10/18/2010,09/22/2014
912793,1014382,Africa Middle East & Indian Spices Grocery  ,Combination Grocery/Other,12309,15th Ave NE,Ste C,Seattle,WA,98125,4864,KING,47.71793,-122.3127,09/13/2011,04/17/2019
912794,1014382,Africa Middle East & Indian Spices Grocery  ,Combination Grocery/Other,12309,15th Ave NE,Ste C,Seattle,WA,98125,4864,KING,47.71793,-122.3127,04/19/2019,02/03/2021
912796,1182414,Afrik Grocery & Coffee Shop  ,Combination Grocery/Other,4610,Martin Luther King Jr Way S,,Seattle,WA,98108,2135,KING,47.5617,-122.2938,01/20/2015, 
912805,398949,AIRPORT WAY MARKET  ,Convenience Store,6249,Airport Way S, ,Seattle,WA,98108,2761,KING,47.54762,-122.3142,11/12/1986,07/31/2005
912806,758332,AIRPORT WAY MARKET  ,Convenience Store,6249,Airport Way S, ,Seattle,WA,98108,2761,KING,47.54762,-122.3142,07/27/2005,04/06/2006
912807,909924,Airport Way Market  ,Convenience Store,6249,Airport Way S, ,Seattle,WA,98108,2761,KING,47.54762,-122.3142,10/13/2009,12/26/2019
912808,636386,AIRPORT WAY MEATS  ,Large Grocery Store,1207,S Jackson St Ste 102, ,Seattle,WA,98144,2093,KING,0.0,0.0,03/05/1992,03/07/1994
912809,477730,AL & BOB'S SAVEWAY MARKET  ,Convenience Store,109,Occidental Ave S, ,Seattle,WA,98104,2517,KING,0.0,0.0,02/20/1998,09/29/1999
912814,775986,AL NASIR GROCERY  ,Meat/Poultry Specialty,7126,Martin Luther King Jr Way S, ,Seattle,WA,98118,3595,KING,47.53812,-122.2814,01/20/2006,02/21/2007
912816,552278,AL-AMIIN HAHAL MEAT & GROCERY  ,Meat/Poultry Specialty,8324,Rainier Ave S, ,Seattle,WA,98118,4653,KING,0.0,0.0,07/26/2001,02/28/2002
